pandaid,computingsite,cpuconsumptiontime,corecount,noutputdatafiles,outputfilebytes,files_info
63,Base,601,4,2,84448977,"{""lsst_DiffImaging_63_0000.fits"":100950300,""lsst_DiffImaging_63_0001.fits"":96747038,""lsst_DiffImaging_63_0002.fits"":83799255}"
64,USDF,304,4,3,227077746,"{""lsst_SingleFrame_Cal_64_0000.fits"":107817237,""lsst_SingleFrame_Cal_64_0001.fits"":98617078}"
65,UKDF,76,1,2,67907295,"{""lsst_Prompt_ISR_65_0000.fits"":75452550}"
66,USDF,1095,8,2,61830765,"{""lsst_ForcedPhotom_66_0000.fits"":54545893,""lsst_ForcedPhotom_66_0001.fits"":33924623,""lsst_ForcedPhotom_66_0002.fits"":65918841,""lsst_ForcedPhotom_66_0003.fits"":46277481,""lsst_ForcedPhotom_66_0004.fits"":66035489,""lsst_ForcedPhotom_66_0005.fits"":42451498}"
67,FrDF,6574,8,1,2312666014,"{""lsst_Coadd_67_0000.fits"":92248475,""lsst_Coadd_67_0001.fits"":70574932,""lsst_Coadd_67_0002.fits"":70556204,""lsst_Coadd_67_0003.fits"":98486808,""lsst_Coadd_67_0004.fits"":82146373,""lsst_Coadd_67_0005.fits"":98827884,""lsst_Coadd_67_0006.fits"":77126997,""lsst_Coadd_67_0007.fits"":73826465,""lsst_Coadd_67_0008.fits"":118800196,""lsst_Coadd_67_0009.fits"":98873942,""lsst_Coadd_67_0010.fits"":74148820,""lsst_Coadd_67_0011.fits"":142933516,""lsst_Coadd_67_0012.fits"":80879457,""lsst_Coadd_67_0013.fits"":119533898,""lsst_Coadd_67_0014.fits"":77468568,""lsst_Coadd_67_0015.fits"":85758966,""lsst_Coadd_67_0016.fits"":106811528,""lsst_Coadd_67_0017.fits"":128601605,""lsst_Coadd_67_0018.fits"":85832297,""lsst_Coadd_67_0019.fits"":110484484,""lsst_Coadd_67_0020.fits"":106222483,""lsst_Coadd_67_0021.fits"":77439247,""lsst_Coadd_67_0022.fits"":101653237,""lsst_Coadd_67_0023.fits"":77824678,""lsst_Coadd_67_0024.fits"":111603657,""lsst_Coadd_67_0025.fits"":104269681,""lsst_Coadd_67_0026.fits"":86001320,""lsst_Coadd_67_0027.fits"":106883074,""lsst_Coadd_67_0028.fits"":117519699,""lsst_Coadd_67_0029.fits"":109675578,""lsst_Coadd_67_0030.fits"":93896395,""lsst_Coadd_67_0031.fits"":72370553,""lsst_Coadd_67_0032.fits"":66479704,""lsst_Coadd_67_0033.fits"":110062260,""lsst_Coadd_67_0034.fits"":108543285,""lsst_Coadd_67_0035.fits"":89864160,""lsst_Coadd_67_0036.fits"":68639143,""lsst_Coadd_67_0037.fits"":85632955,""lsst_Coadd_67_0038.fits"":105666790,""lsst_Coadd_67_0039.fits"":92931875,""lsst_Coadd_67_0040.fits"":113079429,""lsst_Coadd_67_0041.fits"":94835646,""lsst_Coadd_67_0042.fits"":82653053,""lsst_Coadd_67_0043.fits"":92373753,""lsst_Coadd_67_0044.fits"":77792797,""lsst_Coadd_67_0045.fits"":189335554,""lsst_Coadd_67_0046.fits"":100287075,""lsst_Coadd_67_0047.fits"":87873533}"
68,FrDF,711,8,1,66995360,"{""lsst_ForcedPhotom_68_0000.fits"":57326884,""lsst_ForcedPhotom_68_0001.fits"":67688003,""lsst_ForcedPhotom_68_0002.fits"":50948657,""lsst_ForcedPhotom_68_0003.fits"":59180960,""lsst_ForcedPhotom_68_0004.fits"":48567630,""lsst_ForcedPhotom_68_0005.fits"":51264669}"
69,FrDF,368,4,3,235049656,"{""lsst_SingleFrame_Cal_69_0000.fits"":88580910,""lsst_SingleFrame_Cal_69_0001.fits"":125100596}"
70,FrDF,532,4,1,232596337,"{""lsst_SingleFrame_Cal_70_0000.fits"":102422117,""lsst_SingleFrame_Cal_70_0001.fits"":109029099}"
71,Base,112,1,2,56765151,"{""lsst_Prompt_ISR_71_0000.fits"":63072390}"
72,USDF,381,4,2,352561594,"{""lsst_SingleFrame_Cal_72_0000.fits"":93484206,""lsst_SingleFrame_Cal_72_0001.fits"":102056543,""lsst_SingleFrame_Cal_72_0002.fits"":124969791}"
73,Base,72,1,2,76111625,"{""lsst_Prompt_ISR_73_0000.fits"":84568473}"
74,Base,3558,8,3,543763521,"{""lsst_Coadd_74_0000.fits"":99418726,""lsst_Coadd_74_0001.fits"":135904900,""lsst_Coadd_74_0002.fits"":84600575,""lsst_Coadd_74_0003.fits"":102945715,""lsst_Coadd_74_0004.fits"":86011986,""lsst_Coadd_74_0005.fits"":91190114,""lsst_Coadd_74_0006.fits"":73023175,""lsst_Coadd_74_0007.fits"":137948355,""lsst_Coadd_74_0008.fits"":78497816,""lsst_Coadd_74_0009.fits"":99935947,""lsst_Coadd_74_0010.fits"":98049734}"
75,FrDF,289,4,2,125420297,"{""lsst_SingleFrame_Cal_75_0000.fits"":114018452}"
76,Base,90,1,2,66215622,"{""lsst_Prompt_ISR_76_0000.fits"":73572914}"
77,USDF,2815,8,4,709152178,"{""lsst_Coadd_77_0000.fits"":99092190,""lsst_Coadd_77_0001.fits"":74902863,""lsst_Coadd_77_0002.fits"":116752397,""lsst_Coadd_77_0003.fits"":83979963,""lsst_Coadd_77_0004.fits"":78699922,""lsst_Coadd_77_0005.fits"":91219720,""lsst_Coadd_77_0006.fits"":104090831,""lsst_Coadd_77_0007.fits"":119715275,""lsst_Coadd_77_0008.fits"":106105451,""lsst_Coadd_77_0009.fits"":65242369,""lsst_Coadd_77_0010.fits"":116780833,""lsst_Coadd_77_0011.fits"":91455186,""lsst_Coadd_77_0012.fits"":91870993,""lsst_Coadd_77_0013.fits"":84092138,""lsst_Coadd_77_0014.fits"":94304225}"
78,Base,92,1,1,67013941,"{""lsst_Prompt_ISR_78_0000.fits"":74459935}"
79,USDF,386,4,2,190639863,"{""lsst_SingleFrame_Cal_79_0000.fits"":89427846,""lsst_SingleFrame_Cal_79_0001.fits"":83881121}"
80,USDF,357,4,3,295297895,"{""lsst_SingleFrame_Cal_80_0000.fits"":97693939,""lsst_SingleFrame_Cal_80_0001.fits"":96447587,""lsst_SingleFrame_Cal_80_0002.fits"":74311106}"
81,USDF,84,1,1,65734447,"{""lsst_Prompt_ISR_81_0000.fits"":73038275}"
82,USDF,384,4,2,320198763,"{""lsst_SingleFrame_Cal_82_0000.fits"":111686065,""lsst_SingleFrame_Cal_82_0001.fits"":101452337,""lsst_SingleFrame_Cal_82_0002.fits"":77951383}"
83,USDF,52,1,1,82738152,"{""lsst_Prompt_ISR_83_0000.fits"":91931281}"
84,USDF,627,4,1,214100975,"{""lsst_SingleFrame_Cal_84_0000.fits"":104986342,""lsst_SingleFrame_Cal_84_0001.fits"":89650908}"
85,FrDF,3412,8,2,1991201657,"{""lsst_Coadd_85_0000.fits"":95272699,""lsst_Coadd_85_0001.fits"":127329571,""lsst_Coadd_85_0002.fits"":75978953,""lsst_Coadd_85_0003.fits"":73177085,""lsst_Coadd_85_0004.fits"":104174677,""lsst_Coadd_85_0005.fits"":74052816,""lsst_Coadd_85_0006.fits"":67522393,""lsst_Coadd_85_0007.fits"":104443147,""lsst_Coadd_85_0008.fits"":84278550,""lsst_Coadd_85_0009.fits"":94292165,""lsst_Coadd_85_0010.fits"":105820558,""lsst_Coadd_85_0011.fits"":110558878,""lsst_Coadd_85_0012.fits"":76585680,""lsst_Coadd_85_0013.fits"":99143421,""lsst_Coadd_85_0014.fits"":96374389,""lsst_Coadd_85_0015.fits"":76604087,""lsst_Coadd_85_0016.fits"":99254434,""lsst_Coadd_85_0017.fits"":88717687,""lsst_Coadd_85_0018.fits"":92002449,""lsst_Coadd_85_0019.fits"":103517934,""lsst_Coadd_85_0020.fits"":107123629,""lsst_Coadd_85_0021.fits"":95156957,""lsst_Coadd_85_0022.fits"":76047016,""lsst_Coadd_85_0023.fits"":124400289,""lsst_Coadd_85_0024.fits"":122153734,""lsst_Coadd_85_0025.fits"":92644724,""lsst_Coadd_85_0026.fits"":65842529,""lsst_Coadd_85_0027.fits"":88299606,""lsst_Coadd_85_0028.fits"":88399322,""lsst_Coadd_85_0029.fits"":94098659,""lsst_Coadd_85_0030.fits"":89371516,""lsst_Coadd_85_0031.fits"":69735410,""lsst_Coadd_85_0032.fits"":107661152,""lsst_Coadd_85_0033.fits"":90215728,""lsst_Coadd_85_0034.fits"":79670388,""lsst_Coadd_85_0035.fits"":80343570,""lsst_Coadd_85_0036.fits"":105911929,""lsst_Coadd_85_0037.fits"":93188386,""lsst_Coadd_85_0038.fits"":114738533,""lsst_Coadd_85_0039.fits"":83630692,""lsst_Coadd_85_0040.fits"":132587022,""lsst_Coadd_85_0041.fits"":132080951}"
86,UKDF,584,4,2,116479657,"{""lsst_DiffImaging_86_0000.fits"":97111674,""lsst_DiffImaging_86_0001.fits"":95837328,""lsst_DiffImaging_86_0002.fits"":109334442,""lsst_DiffImaging_86_0003.fits"":85982081}"
87,FrDF,407,4,2,424715121,"{""lsst_SingleFrame_Cal_87_0000.fits"":116633425,""lsst_SingleFrame_Cal_87_0001.fits"":115533366,""lsst_SingleFrame_Cal_87_0002.fits"":153937865}"
88,Base,364,4,1,108357133,"{""lsst_DiffImaging_88_0000.fits"":82278644,""lsst_DiffImaging_88_0001.fits"":103507643,""lsst_DiffImaging_88_0002.fits"":84021313,""lsst_DiffImaging_88_0003.fits"":91382846}"
89,Base,78,1,2,70499762,"{""lsst_Prompt_ISR_89_0000.fits"":78333069}"
90,USDF,715,4,1,115466392,"{""lsst_DiffImaging_90_0000.fits"":90489359,""lsst_DiffImaging_90_0001.fits"":118837649,""lsst_DiffImaging_90_0002.fits"":70445713,""lsst_DiffImaging_90_0003.fits"":105115254}"
91,FrDF,291,4,3,289615525,"{""lsst_SingleFrame_Cal_91_0000.fits"":168133026,""lsst_SingleFrame_Cal_91_0001.fits"":95153815}"
92,Base,121,1,1,77317316,"{""lsst_Prompt_ISR_92_0000.fits"":85908129}"
93,USDF,3456,8,3,1351574728,"{""lsst_Coadd_93_0000.fits"":86052629,""lsst_Coadd_93_0001.fits"":102434401,""lsst_Coadd_93_0002.fits"":82957057,""lsst_Coadd_93_0003.fits"":117217823,""lsst_Coadd_93_0004.fits"":105569535,""lsst_Coadd_93_0005.fits"":104183526,""lsst_Coadd_93_0006.fits"":120069199,""lsst_Coadd_93_0007.fits"":105174818,""lsst_Coadd_93_0008.fits"":62361788,""lsst_Coadd_93_0009.fits"":81232299,""lsst_Coadd_93_0010.fits"":78705295,""lsst_Coadd_93_0011.fits"":75443419,""lsst_Coadd_93_0012.fits"":97171196,""lsst_Coadd_93_0013.fits"":73322673,""lsst_Coadd_93_0014.fits"":95120672,""lsst_Coadd_93_0015.fits"":77417475,""lsst_Coadd_93_0016.fits"":107008446,""lsst_Coadd_93_0017.fits"":57554055,""lsst_Coadd_93_0018.fits"":108286471,""lsst_Coadd_93_0019.fits"":99088512,""lsst_Coadd_93_0020.fits"":107403405,""lsst_Coadd_93_0021.fits"":120151121,""lsst_Coadd_93_0022.fits"":80175889,""lsst_Coadd_93_0023.fits"":154190776,""lsst_Coadd_93_0024.fits"":120847810,""lsst_Coadd_93_0025.fits"":91130553,""lsst_Coadd_93_0026.fits"":90270801,""lsst_Coadd_93_0027.fits"":102607812}"
94,FrDF,5585,8,1,1398234470,"{""lsst_Coadd_94_0000.fits"":76017701,""lsst_Coadd_94_0001.fits"":82405198,""lsst_Coadd_94_0002.fits"":123378839,""lsst_Coadd_94_0003.fits"":111807119,""lsst_Coadd_94_0004.fits"":93174486,""lsst_Coadd_94_0005.fits"":103137073,""lsst_Coadd_94_0006.fits"":91516452,""lsst_Coadd_94_0007.fits"":77231097,""lsst_Coadd_94_0008.fits"":92415272,""lsst_Coadd_94_0009.fits"":79471051,""lsst_Coadd_94_0010.fits"":101054142,""lsst_Coadd_94_0011.fits"":126313635,""lsst_Coadd_94_0012.fits"":76182599,""lsst_Coadd_94_0013.fits"":114777498,""lsst_Coadd_94_0014.fits"":89406834,""lsst_Coadd_94_0015.fits"":99549834,""lsst_Coadd_94_0016.fits"":82405343,""lsst_Coadd_94_0017.fits"":111006359,""lsst_Coadd_94_0018.fits"":113094039,""lsst_Coadd_94_0019.fits"":87435912,""lsst_Coadd_94_0020.fits"":120048449,""lsst_Coadd_94_0021.fits"":70038586,""lsst_Coadd_94_0022.fits"":104658123,""lsst_Coadd_94_0023.fits"":88030289,""lsst_Coadd_94_0024.fits"":113690271,""lsst_Coadd_94_0025.fits"":82400177,""lsst_Coadd_94_0026.fits"":88884254,""lsst_Coadd_94_0027.fits"":99142235,""lsst_Coadd_94_0028.fits"":97796074}"
95,USDF,380,4,1,162701289,"{""lsst_SingleFrame_Cal_95_0000.fits"":147910263}"
96,Base,73,1,1,78200594,"{""lsst_Prompt_ISR_96_0000.fits"":86889549}"
97,UKDF,482,4,3,186772495,"{""lsst_SingleFrame_Cal_97_0000.fits"":68991061,""lsst_SingleFrame_Cal_97_0001.fits"":100802117}"
98,USDF,570,4,2,87942684,"{""lsst_DiffImaging_98_0000.fits"":85993464,""lsst_DiffImaging_98_0001.fits"":101159909,""lsst_DiffImaging_98_0002.fits"":105988908}"
99,FrDF,1102,8,2,113476721,"{""lsst_ForcedPhotom_99_0000.fits"":57001706,""lsst_ForcedPhotom_99_0001.fits"":38162726,""lsst_ForcedPhotom_99_0002.fits"":56455512,""lsst_ForcedPhotom_99_0003.fits"":55103872,""lsst_ForcedPhotom_99_0004.fits"":24302063,""lsst_ForcedPhotom_99_0005.fits"":45339303,""lsst_ForcedPhotom_99_0006.fits"":36948862,""lsst_ForcedPhotom_99_0007.fits"":46359583,""lsst_ForcedPhotom_99_0008.fits"":51826319,""lsst_ForcedPhotom_99_0009.fits"":52951989,""lsst_ForcedPhotom_99_0010.fits"":50688935,""lsst_ForcedPhotom_99_0011.fits"":52242738}"
100,Base,128,1,1,68643439,"{""lsst_Prompt_ISR_100_0000.fits"":76270488}"
101,USDF,999,8,2,78862202,"{""lsst_ForcedPhotom_101_0000.fits"":39601058,""lsst_ForcedPhotom_101_0001.fits"":45785664,""lsst_ForcedPhotom_101_0002.fits"":44871539,""lsst_ForcedPhotom_101_0003.fits"":42060869,""lsst_ForcedPhotom_101_0004.fits"":70563046,""lsst_ForcedPhotom_101_0005.fits"":52568248,""lsst_ForcedPhotom_101_0006.fits"":58101757,""lsst_ForcedPhotom_101_0007.fits"":40758831}"
102,Base,57,1,2,62612469,"{""lsst_Prompt_ISR_102_0000.fits"":69569411}"
103,USDF,467,4,3,95914931,"{""lsst_SingleFrame_Cal_103_0000.fits"":87195392}"
104,Base,117,1,2,69517537,"{""lsst_Prompt_ISR_104_0000.fits"":77241708}"
105,USDF,80,1,1,66712363,"{""lsst_Prompt_ISR_105_0000.fits"":74124848}"
106,Base,62,1,2,75338089,"{""lsst_Prompt_ISR_106_0000.fits"":83708988}"
107,Base,74,1,1,80221739,"{""lsst_Prompt_ISR_107_0000.fits"":89135266}"
108,FrDF,750,8,1,184019473,"{""lsst_ForcedPhotom_108_0000.fits"":43398133,""lsst_ForcedPhotom_108_0001.fits"":45120494,""lsst_ForcedPhotom_108_0002.fits"":33229731,""lsst_ForcedPhotom_108_0003.fits"":48300466,""lsst_ForcedPhotom_108_0004.fits"":50886846,""lsst_ForcedPhotom_108_0005.fits"":42041759,""lsst_ForcedPhotom_108_0006.fits"":40602124,""lsst_ForcedPhotom_108_0007.fits"":71430346,""lsst_ForcedPhotom_108_0008.fits"":27312831,""lsst_ForcedPhotom_108_0009.fits"":42998766,""lsst_ForcedPhotom_108_0010.fits"":55621618,""lsst_ForcedPhotom_108_0011.fits"":54451674,""lsst_ForcedPhotom_108_0012.fits"":43635103,""lsst_ForcedPhotom_108_0013.fits"":69508133,""lsst_ForcedPhotom_108_0014.fits"":33577716,""lsst_ForcedPhotom_108_0015.fits"":35872157,""lsst_ForcedPhotom_108_0016.fits"":42277611,""lsst_ForcedPhotom_108_0017.fits"":57417123,""lsst_ForcedPhotom_108_0018.fits"":32691178,""lsst_ForcedPhotom_108_0019.fits"":49723560}"
109,USDF,84,1,2,76884078,"{""lsst_Prompt_ISR_109_0000.fits"":85426754}"
110,USDF,311,4,2,92345757,"{""lsst_SingleFrame_Cal_110_0000.fits"":83950689}"
111,Base,143,1,2,73579410,"{""lsst_Prompt_ISR_111_0000.fits"":81754900}"
112,Base,139,1,1,75383340,"{""lsst_Prompt_ISR_112_0000.fits"":83759267}"
113,USDF,3300,8,1,999770965,"{""lsst_Coadd_113_0000.fits"":126886692,""lsst_Coadd_113_0001.fits"":89549421,""lsst_Coadd_113_0002.fits"":75596119,""lsst_Coadd_113_0003.fits"":139760116,""lsst_Coadd_113_0004.fits"":105794548,""lsst_Coadd_113_0005.fits"":88524863,""lsst_Coadd_113_0006.fits"":81949170,""lsst_Coadd_113_0007.fits"":116695131,""lsst_Coadd_113_0008.fits"":106510854,""lsst_Coadd_113_0009.fits"":97466342,""lsst_Coadd_113_0010.fits"":114738773,""lsst_Coadd_113_0011.fits"":82684937,""lsst_Coadd_113_0012.fits"":69249819,""lsst_Coadd_113_0013.fits"":129661645,""lsst_Coadd_113_0014.fits"":87756009,""lsst_Coadd_113_0015.fits"":114184856,""lsst_Coadd_113_0016.fits"":81567263,""lsst_Coadd_113_0017.fits"":94698168,""lsst_Coadd_113_0018.fits"":112533245,""lsst_Coadd_113_0019.fits"":83733959}"
114,USDF,507,4,1,290468153,"{""lsst_SingleFrame_Cal_114_0000.fits"":78463142,""lsst_SingleFrame_Cal_114_0001.fits"":92278110,""lsst_SingleFrame_Cal_114_0002.fits"":93320706}"
115,Base,76,1,1,58850622,"{""lsst_Prompt_ISR_115_0000.fits"":65389581}"
116,Base,149,1,2,75891699,"{""lsst_Prompt_ISR_116_0000.fits"":84324111}"
117,FrDF,1398,8,2,127643418,"{""lsst_ForcedPhotom_117_0000.fits"":48601601,""lsst_ForcedPhotom_117_0001.fits"":49381949,""lsst_ForcedPhotom_117_0002.fits"":67286857,""lsst_ForcedPhotom_117_0003.fits"":51360124,""lsst_ForcedPhotom_117_0004.fits"":54492064,""lsst_ForcedPhotom_117_0005.fits"":55276342,""lsst_ForcedPhotom_117_0006.fits"":63622817,""lsst_ForcedPhotom_117_0007.fits"":46031570,""lsst_ForcedPhotom_117_0008.fits"":45186466,""lsst_ForcedPhotom_117_0009.fits"":43818821,""lsst_ForcedPhotom_117_0010.fits"":63477631,""lsst_ForcedPhotom_117_0011.fits"":49680850}"
118,Base,143,1,2,78223545,"{""lsst_Prompt_ISR_118_0000.fits"":86915051}"
119,USDF,327,4,2,347651459,"{""lsst_SingleFrame_Cal_119_0000.fits"":110615986,""lsst_SingleFrame_Cal_119_0001.fits"":90964642,""lsst_SingleFrame_Cal_119_0002.fits"":114466153}"
120,FrDF,493,4,2,124657158,"{""lsst_DiffImaging_120_0000.fits"":87758794,""lsst_DiffImaging_120_0001.fits"":85733208,""lsst_DiffImaging_120_0002.fits"":104215016,""lsst_DiffImaging_120_0003.fits"":137816844}"
121,USDF,472,4,2,110103666,"{""lsst_DiffImaging_121_0000.fits"":84437029,""lsst_DiffImaging_121_0001.fits"":99951945,""lsst_DiffImaging_121_0002.fits"":92418698,""lsst_DiffImaging_121_0003.fits"":90204549}"
122,USDF,302,4,2,251502146,"{""lsst_SingleFrame_Cal_122_0000.fits"":61666823,""lsst_SingleFrame_Cal_122_0001.fits"":96188767,""lsst_SingleFrame_Cal_122_0002.fits"":70782725}"
123,FrDF,2944,8,3,1076386924,"{""lsst_Coadd_123_0000.fits"":86566146,""lsst_Coadd_123_0001.fits"":87167265,""lsst_Coadd_123_0002.fits"":109002753,""lsst_Coadd_123_0003.fits"":110306802,""lsst_Coadd_123_0004.fits"":84307514,""lsst_Coadd_123_0005.fits"":111859641,""lsst_Coadd_123_0006.fits"":187053894,""lsst_Coadd_123_0007.fits"":125744519,""lsst_Coadd_123_0008.fits"":122285004,""lsst_Coadd_123_0009.fits"":85487607,""lsst_Coadd_123_0010.fits"":99901864,""lsst_Coadd_123_0011.fits"":100934979,""lsst_Coadd_123_0012.fits"":127546661,""lsst_Coadd_123_0013.fits"":102511344,""lsst_Coadd_123_0014.fits"":110658849,""lsst_Coadd_123_0015.fits"":90802097,""lsst_Coadd_123_0016.fits"":90323944,""lsst_Coadd_123_0017.fits"":104476550,""lsst_Coadd_123_0018.fits"":98819380,""lsst_Coadd_123_0019.fits"":117017035}"
124,FrDF,2858,8,4,1748442953,"{""lsst_Coadd_124_0000.fits"":118919415,""lsst_Coadd_124_0001.fits"":81423490,""lsst_Coadd_124_0002.fits"":116813200,""lsst_Coadd_124_0003.fits"":85337573,""lsst_Coadd_124_0004.fits"":91547861,""lsst_Coadd_124_0005.fits"":70674835,""lsst_Coadd_124_0006.fits"":100844713,""lsst_Coadd_124_0007.fits"":94371887,""lsst_Coadd_124_0008.fits"":116635807,""lsst_Coadd_124_0009.fits"":145245129,""lsst_Coadd_124_0010.fits"":86839587,""lsst_Coadd_124_0011.fits"":121913441,""lsst_Coadd_124_0012.fits"":120872434,""lsst_Coadd_124_0013.fits"":103521066,""lsst_Coadd_124_0014.fits"":109328521,""lsst_Coadd_124_0015.fits"":105977691,""lsst_Coadd_124_0016.fits"":87152127,""lsst_Coadd_124_0017.fits"":111735579,""lsst_Coadd_124_0018.fits"":78020997,""lsst_Coadd_124_0019.fits"":91676287,""lsst_Coadd_124_0020.fits"":96058365,""lsst_Coadd_124_0021.fits"":122106150,""lsst_Coadd_124_0022.fits"":109369542,""lsst_Coadd_124_0023.fits"":94263078,""lsst_Coadd_124_0024.fits"":93636345,""lsst_Coadd_124_0025.fits"":99116488,""lsst_Coadd_124_0026.fits"":91323779,""lsst_Coadd_124_0027.fits"":98218390,""lsst_Coadd_124_0028.fits"":129749134,""lsst_Coadd_124_0029.fits"":99488727,""lsst_Coadd_124_0030.fits"":91250372,""lsst_Coadd_124_0031.fits"":96757380,""lsst_Coadd_124_0032.fits"":98234274,""lsst_Coadd_124_0033.fits"":138462242}"
125,USDF,591,4,2,62587224,"{""lsst_DiffImaging_125_0000.fits"":114939285,""lsst_DiffImaging_125_0001.fits"":93684797}"
126,USDF,505,4,3,214541275,"{""lsst_SingleFrame_Cal_126_0000.fits"":95169215,""lsst_SingleFrame_Cal_126_0001.fits"":99868308}"
127,Base,73,1,2,81270774,"{""lsst_Prompt_ISR_127_0000.fits"":90300860}"
128,Base,87,1,1,85201297,"{""lsst_Prompt_ISR_128_0000.fits"":94668108}"
129,FrDF,1476,8,3,192894192,"{""lsst_ForcedPhotom_129_0000.fits"":48372445,""lsst_ForcedPhotom_129_0001.fits"":34253194,""lsst_ForcedPhotom_129_0002.fits"":38437746,""lsst_ForcedPhotom_129_0003.fits"":52421701,""lsst_ForcedPhotom_129_0004.fits"":44984912,""lsst_ForcedPhotom_129_0005.fits"":68920214,""lsst_ForcedPhotom_129_0006.fits"":40960414,""lsst_ForcedPhotom_129_0007.fits"":60832028,""lsst_ForcedPhotom_129_0008.fits"":37803302,""lsst_ForcedPhotom_129_0009.fits"":65534061,""lsst_ForcedPhotom_129_0010.fits"":54934684,""lsst_ForcedPhotom_129_0011.fits"":52626139,""lsst_ForcedPhotom_129_0012.fits"":45727568,""lsst_ForcedPhotom_129_0013.fits"":67472930,""lsst_ForcedPhotom_129_0014.fits"":41174550,""lsst_ForcedPhotom_129_0015.fits"":46662770,""lsst_ForcedPhotom_129_0016.fits"":72280672,""lsst_ForcedPhotom_129_0017.fits"":47504257,""lsst_ForcedPhotom_129_0018.fits"":43567374}"
130,USDF,844,4,1,57935263,"{""lsst_DiffImaging_130_0000.fits"":87388466,""lsst_DiffImaging_130_0001.fits"":105729080}"
131,USDF,436,4,2,368098013,"{""lsst_SingleFrame_Cal_131_0000.fits"":138334419,""lsst_SingleFrame_Cal_131_0001.fits"":98408190,""lsst_SingleFrame_Cal_131_0002.fits"":97891949}"
132,Base,74,1,2,70109236,"{""lsst_Prompt_ISR_132_0000.fits"":77899152}"
133,USDF,293,4,2,197670194,"{""lsst_SingleFrame_Cal_133_0000.fits"":75779472,""lsst_SingleFrame_Cal_133_0001.fits"":103920705}"
134,Base,122,1,1,80861775,"{""lsst_Prompt_ISR_134_0000.fits"":89846417}"
135,FrDF,429,4,2,114973956,"{""lsst_DiffImaging_135_0000.fits"":95481769,""lsst_DiffImaging_135_0001.fits"":106522531,""lsst_DiffImaging_135_0002.fits"":109811598,""lsst_DiffImaging_135_0003.fits"":71430622}"
136,USDF,401,4,2,367557232,"{""lsst_SingleFrame_Cal_136_0000.fits"":106681696,""lsst_SingleFrame_Cal_136_0001.fits"":102710563,""lsst_SingleFrame_Cal_136_0002.fits"":124750680}"
137,USDF,439,4,1,61586805,"{""lsst_DiffImaging_137_0000.fits"":111942256,""lsst_DiffImaging_137_0001.fits"":93347095}"
138,Base,1110,8,3,182574443,"{""lsst_ForcedPhotom_138_0000.fits"":61254455,""lsst_ForcedPhotom_138_0001.fits"":50821670,""lsst_ForcedPhotom_138_0002.fits"":37795518,""lsst_ForcedPhotom_138_0003.fits"":53637950,""lsst_ForcedPhotom_138_0004.fits"":44551593,""lsst_ForcedPhotom_138_0005.fits"":63726941,""lsst_ForcedPhotom_138_0006.fits"":65664410,""lsst_ForcedPhotom_138_0007.fits"":39658514,""lsst_ForcedPhotom_138_0008.fits"":64233819,""lsst_ForcedPhotom_138_0009.fits"":38999306,""lsst_ForcedPhotom_138_0010.fits"":75019297,""lsst_ForcedPhotom_138_0011.fits"":37413097,""lsst_ForcedPhotom_138_0012.fits"":43980134,""lsst_ForcedPhotom_138_0013.fits"":49241653,""lsst_ForcedPhotom_138_0014.fits"":45795899,""lsst_ForcedPhotom_138_0015.fits"":44513926,""lsst_ForcedPhotom_138_0016.fits"":52694763,""lsst_ForcedPhotom_138_0017.fits"":43869273}"
139,Base,112,1,1,70116793,"{""lsst_Prompt_ISR_139_0000.fits"":77907548}"
140,Base,73,1,1,76158974,"{""lsst_Prompt_ISR_140_0000.fits"":84621083}"
141,Base,100,1,1,78747293,"{""lsst_Prompt_ISR_141_0000.fits"":87496993}"
142,FrDF,528,4,3,136654721,"{""lsst_SingleFrame_Cal_142_0000.fits"":124231565}"
143,Base,108,1,1,79128126,"{""lsst_Prompt_ISR_143_0000.fits"":87920141}"
144,UKDF,3085,8,3,643613382,"{""lsst_Coadd_144_0000.fits"":86214662,""lsst_Coadd_144_0001.fits"":98801568,""lsst_Coadd_144_0002.fits"":92830983,""lsst_Coadd_144_0003.fits"":72489778,""lsst_Coadd_144_0004.fits"":86593761,""lsst_Coadd_144_0005.fits"":106681703,""lsst_Coadd_144_0006.fits"":82423338,""lsst_Coadd_144_0007.fits"":110137355,""lsst_Coadd_144_0008.fits"":97324160,""lsst_Coadd_144_0009.fits"":78438103,""lsst_Coadd_144_0010.fits"":90579507,""lsst_Coadd_144_0011.fits"":98351708,""lsst_Coadd_144_0012.fits"":99426309,""lsst_Coadd_144_0013.fits"":86933830}"
145,Base,85,1,1,64772273,"{""lsst_Prompt_ISR_145_0000.fits"":71969193}"
146,USDF,652,4,2,62084656,"{""lsst_DiffImaging_146_0000.fits"":90127609,""lsst_DiffImaging_146_0001.fits"":116821246}"
147,USDF,446,4,1,150865610,"{""lsst_SingleFrame_Cal_147_0000.fits"":137150555}"
148,USDF,436,4,2,336531804,"{""lsst_SingleFrame_Cal_148_0000.fits"":95280367,""lsst_SingleFrame_Cal_148_0001.fits"":102381968,""lsst_SingleFrame_Cal_148_0002.fits"":108275669}"
